(2.3, 1.1, 2.8)
(3.3, 5.1, 2.6)
(1.6, 10.5, 4.3)
(-0.9, 11.8, 6.1)
(-4.3, 9.1, 8.1)
(2.1, -12.3, 1.5)
(5.6, -9.6, -0.5)
(6.5, -5.6, -0.7)
(4.9, -0.2, 1.0)
(1.1, 1.6, -4.8)
(2.0, 5.6, -5.0)
(0.4, 10.9, -3.3)
(-2.1, 12.3, -1.5)
(-5.6, 9.6, 0.5)
(0.9, -11.8, -6.1)
(4.3, -9.1, -8.1)
(5.2, -5.1, -8.3)
(3.6, 0.2, -6.6)
